"7613269193043";"b";"https://fr.openfoodfacts.org/produit/7613269193043/amandes-en-poudre-migros";"Amandes en Poudre";"";"400 g e";"sachet,plastique";"Migros";"";""
"3390390003000";"c";"https://fr.openfoodfacts.org/produit/3390390003000/poudre-d-amande-jean-herve";"Poudre d'amande";"";"150 g";"Bocal,Plastique";"Jean Hervé";"";"bio14"
"3179142054633";"b";"https://fr.openfoodfacts.org/produit/3179142054633/amandes-en-poudre-vahine";"Amandes en poudre";"";"125 g";"sachet";"Vahiné";"";""
"3256225731893";"b";"https://fr.openfoodfacts.org/produit/3256225731893/amandes-en-poudre-u";"Amandes en poudre";"";"125 g ";"Sachet,Plastique";"U";"";""
"3245390206282";"c";"https://fr.openfoodfacts.org/produit/3245390206282/amandes-en-poudre-destination-saveurs";"Amandes en poudre";"Fruit à coque";"125 g ";"sachet";"Destination saveurs";"";""
"3390390002379";"c";"https://fr.openfoodfacts.org/produit/3390390002379/poudre-d-amande-ti-bio";"Poudre d'Amande";"";"150 g";"Verre,Bocal";"Ti ! Bio,Jean Hervé";"";""
"3596710366231";"c";"https://fr.openfoodfacts.org/produit/3596710366231/amandes-en-poudre-auchan";"Amandes en poudre";"";"125 g e";"";"Auchan";"";""
"3250391988693";"c";"https://fr.openfoodfacts.org/produit/3250391988693/amande-poudre-paquito";"Amande Poudre";"";"125 g e";"sachet,plastique";"Paquito,Intermarché";"";"intermarche"
"3560071051211";"c";"https://fr.openfoodfacts.org/produit/3560071051211/amande-en-poudre-carrefour-bio";"Amande en Poudre";"";"";"";"Carrefour Bio,Carrefour";"";""
"3596710357796";"a";"https://fr.openfoodfacts.org/produit/3596710357796/bio-amandes-poudre-auchan";"Bio amandes poudre";"Amandes en poudre biologiques";"125 g";"Plastique";"Auchan";"";"auchan"
"3325350101205";"c";"https://fr.openfoodfacts.org/produit/3325350101205/amande-en-poudre-domino";"Amande en Poudre";"";"500 g";"sachet,plastique";"Domino";"";""
"3267110000208";"c";"https://fr.openfoodfacts.org/produit/3267110000208/poudre-d-amande-bio-perl-amande";"Poudre d’amande bio";"";"";"";"Perl’amande";"";""
"3229820762692";"a";"https://fr.openfoodfacts.org/produit/3229820762692/tofu-nature-sachets-fraicheur-bjorg";"Tofu Nature Sachets fraîcheur";"Tofu nature, stérilisé UHT";"400 g, 2 sachets de 200g";"fr:Barquette et film plastique à jeter,fr:Etui carton à recycler,fr:Pensez au tri!,en:Green dot,Clip souple métal plastique";"Bjorg";"";"intermarche, super-u"
"3259011046270";"a";"https://fr.openfoodfacts.org/produit/3259011046270/tofu-nature-cereal-bio";"Tofu nature";"Spécialité végétale à base de soja, issue de l'agriculture biologique ";"250 g, 2 x 125 g";"carton,plastique,Sachet à jeter,Étui carton à recycler,en:Green dot,Pensez au tri!";"Céréal Bio";"www.cerealbio.fr";"super-u, monoprix"
"3259011105977";"a";"https://fr.openfoodfacts.org/produit/3259011105977/tofou-soyeux-soy";"Tofou soyeux";"Spécialité végétale biologique à base de soja";"120 g";"pot";"Soy";"";""
"3350030104771";"a";"https://fr.openfoodfacts.org/produit/3350030104771/tofu-bio-aux-herbes-aromatiques-monoprix-bio";"Tofu Bio aux herbes aromatiques";"Tofu aux herbes aromatiques";"125 g";"carton,Plastique";"Monoprix bio,Monoprix";"";""
"4012359144003";"c";"https://fr.openfoodfacts.org/produit/4012359144003/filets-de-tofu-a-la-japonaise-taifun";"Filets de tofu à la japonaise";"Spécialité de tofu à la poêle ou au barbecue";"160 g";"sachet plastique,Frais";"Taifun";"https://taifun-tofu.de/fr/filets-de-tofu-la-japonaise";"biocoop, naturalia"
"3259010005018";"a";"https://fr.openfoodfacts.org/produit/3259010005018/tofu-fume-soy";"Tofu fumé";"";"200 g";"sachet,plastique,sous-vide";"Soy";"https://www.soy.fr/produit/tofou-fume/";""
"4012359141002";"d";"https://fr.openfoodfacts.org/produit/4012359141002/galettes-de-tofu-a-l-epeautre-taifun";"Galettes de tofu à l'épeautre";"";"200 g";"Sous-vide,Frais,Plastique";"Taifun";"https://taifun-tofu.de/tofu-dinkelbratlinge";"naturalia"
"3175681108943";"a";"https://fr.openfoodfacts.org/produit/3175681108943/tofu-fume-cereal-bio";"Tofu fumé";"";"2 * 100 g (200 g)";"Carton";"Céréal Bio";"";"auchan"
"3259010101208";"a";"https://fr.openfoodfacts.org/produit/3259010101208/tofou-nature-soy";"Tofou Nature";"Spécialité végétale biologique à base de soja";"250 g (2 * 125 g)";"Frais,Plastique";"Soy,Nutrition & Nature S.A.S.";"";""
"3483460010500";"a";"https://fr.openfoodfacts.org/produit/3483460010500/tofu-nature-tossalia";"Tofu Nature";"Tofu nature";"500 g";"Barquette,Film,Plastique,Frais,Sous atmosphère protectrice";"Tossalia";"";"biostore, biocoop"
"3483460014188";"b";"https://fr.openfoodfacts.org/produit/3483460014188/steaks-de-tofu-a-l-aubergine-et-au-parmesan-bio-les-artisans-du-bio";"Steaks de Tofu à l'Aubergine et au Parmesan Bio";"Steaks de Tofu à l'Aubergine et au Parmesan Bio";"180 g";"Frais,Plastique,Carton";"Les Artisans du Bio";"http://www.lesartisansdubio.fr/steak-aubergine-parmesan-producteur-bio-vaucluse";"franprix"
"3259011185443";"a";"https://fr.openfoodfacts.org/produit/3259011185443/tofou-marine-a-la-japonaise-soy";"Tofou mariné à la japonaise";"";"280g";"plastique";"Soy";"";"biocoop"
"3259010301202";"a";"https://fr.openfoodfacts.org/produit/3259010301202/croc-tofou-a-la-provencale-soy";"Croc Tofou à la Provençale";"Galette végétale au tofou";"200 g";"Carton,Plastique";"Soy";"";"bio-c-bon"
"3259011124824";"a";"https://fr.openfoodfacts.org/produit/3259011124824/croc-tofou-chevre-epinards-graines-de-pavot-soy";"Croc Tofou Chêvre, Epinards & Graines de pavot";"Galettes de tofu";"2 x 100 g";"etui-carton,sachet-plastique";"Soy";"";"la-vie-claire"
"3259010101512";"a";"https://fr.openfoodfacts.org/produit/3259010101512/tofou-aux-herbes-soy";"Tofou aux Herbes";"Spécialité végétale biologique à base de soja.";"250 g (2 * 125 g)";"Sachet,Plastique,Frais";"Soy";"";""
"3259011083312";"a";"https://fr.openfoodfacts.org/produit/3259011083312/tofu-soyeux-soy";"Tofu Soyeux";"";"400 g";"Plastique";"Soy";"";"satoriz"
"259010008101";"a";"https://fr.openfoodfacts.org/produit/259010008101/tofinelle-epinards-pignons-de-pin-soy";"Tofinelle Epinards & Pignons de pin";"Saucisse tofu";"200 g.";"Carton,Plastique";"Soy";"";""
"3483460005209";"b";"https://fr.openfoodfacts.org/produit/3483460005209/steak-de-tofu-aux-noisettes-bio-les-artisans-du-bio";"Steak de Tofu aux Noisettes Bio";"Steak de Tofu aux Noisettes Bio";"180 g";"Atmosphère protectrice,carton,plastique,boîte,frais";"Les Artisans du Bio";"http://www.lesartisansdubio.fr/steak-de-tofu-noisettes-producteur-bio-vaucluse";"franprix"
"3576566004006";"b";"https://fr.openfoodfacts.org/produit/3576566004006/tofu-lactofermente-pesto-sojami";"Tofu lactofermenté Pesto";"";"200 g (2 x 100g)";"Frais,Plastique,Sachet";"Sojami";"";"naturalia"
"4012359115003";"a";"https://fr.openfoodfacts.org/produit/4012359115003/tofu-soyeux-taifun";"Tofu Soyeux";"";"400 g";"Barquette,Film,Plastique";"Taifun";"";""
"3483460016182";"c";"https://fr.openfoodfacts.org/produit/3483460016182/steak-de-tofu-tomate-et-chevre-bio-les-artisans-du-bio";"Steak de Tofu Tomate et Chèvre Bio";"2 Steaks de Tofu Tomate Chèvre";"180 g";"Frais,Plastique,Carton";"Les Artisans du Bio";"http://www.lesartisansdubio.fr/steak-tomate-et-chevre-producteur-bio-vaucluse";"franprix"
